County,Per Capita Income,Total Personal Income,Median Household Income,Average Annual Pay,% of Population in Poverty,% of Population Under 18 in Poverty
Jeff Davis,42947.00,96717000.00,51343.00,32516.00,13.1,34.4
Jefferson,44065.00,11236716000.00,48121.00,57522.00,18.7,27.8
Jim Hogg,30696.00,161094000.00,36176.00,39765.00,25.2,38.6
Jim Wells,40570.00,1656154000.00,41919.00,46969.00,21.2,33.3
Johnson,41697.00,7145318000.00,62635.00,44877.00,10.7,15.5
Jones,30559.00,605580000.00,43903.00,38185.00,22,24
Karnes,49593.00,776133000.00,48743.00,55016.00,21.8,25.3
Kaufman,42837.00,5509791000.00,67434.00,42759.00,11.5,15.3
Kendall,84270.00,3846150000.00,90937.00,49971.00,7.5,10.5
Kenedy,43561.00,19254000.00,42153.00,65819.00,14.3,20.3
Kent,54858.00,39827000.00,47625.00,38936.00,13.3,20.3
Kerr,50150.00,2628122000.00,53704.00,41998.00,13.9,23.3
Kimble,43309.00,188915000.00,42503.00,30911.00,17.6,35.9
King,55661.00,15418000.00,57925.00,41427.00,13.7,15.7
Kinney,30431.00,114633000.00,43192.00,45606.00,21.1,26.6
Kleberg,38997.00,1213924000.00,42605.00,38089.00,25,33.3
Knox,38457.00,140483000.00,39726.00,40838.00,20.4,31.5
La Salle,35809.00,269678000.00,40072.00,69630.00,29.6,35.5
Lamar,40763.00,2027045000.00,45767.00,41695.00,14.4,22.2
Lamb,38247.00,503257000.00,42700.00,40780.00,20,27.8
Lampasas,49457.00,1049913000.00,55151.00,34888.00,12.9,20.2
Lavaca,50919.00,1023974000.00,51128.00,39272.00,13.5,22.2
Lee,46713.00,800851000.00,55834.00,50118.00,12.3,17.8
Leon,40388.00,697506000.00,47065.00,53551.00,15.6,24.4
Liberty,37237.00,3214378000.00,52577.00,46375.00,15.1,23.2
Limestone,35771.00,841290000.00,43226.00,43681.00,22.2,33
Lipscomb,64757.00,217259000.00,57332.00,54757.00,12,17.5
Live Oak,35636.00,433544000.00,48814.00,55304.00,18.7,25.6
Llano,47476.00,1027673000.00,54019.00,37388.00,12.3,23.4
